DATE,WSHOSHO
2012-01-25,2598650
2012-02-01,2599969
2012-02-08,2598220
2012-02-15,2616375
2012-02-22,2610443
2012-02-29,2603213
2012-03-07,2599878
2012-03-14,2613456
2012-03-21,2613737
2012-03-28,2598175
2012-04-04,2602642
2012-04-11,2614364
2012-04-18,2622702
2012-04-25,2610134
2012-05-02,2610021
2012-05-09,2608336
2012-05-16,2609188
2012-05-23,2615062
2012-05-30,2601676
2012-06-06,2609303
2012-06-13,2621345
2012-06-20,2623099
2012-06-27,2612993
2012-07-04,2612889
2012-07-11,2609175
2012-07-18,2602738
2012-07-25,2595823
2012-08-01,2593801
2012-08-08,2596938
2012-08-15,2589616
2012-08-22,2583672
2012-08-29,2570220
2012-09-05,2579781
2012-09-12,2581790
2012-09-19,2583338
2012-09-26,2566787
2012-10-03,2571341
2012-10-10,2571487
2012-10-17,2604134
2012-10-24,2597339
2012-10-31,2579274
2012-11-07,2585253
2012-11-14,2627755
2012-11-21,2630354
2012-11-28,2609467
2012-12-05,2616521
2012-12-12,2668891
2012-12-19,2671525
2012-12-26,2660271
2013-01-02,2669592
2013-01-09,2679380
2013-01-16,2711605
2013-01-23,2754976
2013-01-30,2750952
2013-02-06,2758176
2013-02-13,2812756
2013-02-20,2843781
2013-02-27,2839047
2013-03-06,2851294
2013-03-13,2904443
2013-03-20,2942583
2013-03-27,2937814
2013-04-03,2949036
2013-04-10,2957619
2013-04-17,3023213
2013-04-24,3044287
2013-05-01,3041571
2013-05-08,3047938
2013-05-15,3087056
2013-05-22,3127992
2013-05-29,3119382
2013-06-05,3133890
2013-06-12,3141976
2013-06-19,3198344
2013-06-26,3207189
2013-07-03,3219993
2013-07-10,3229861
2013-07-17,3262730
2013-07-24,3297452
2013-07-31,3295892
2013-08-07,3306860
2013-08-14,3366637
2013-08-21,3381070
2013-08-28,3380664
2013-09-04,3390398
2013-09-11,3396782
2013-09-18,3455478
2013-09-25,3467660
2013-10-02,3479712
2013-10-09,3489552
2013-10-16,3542947
2013-10-23,3566226
2013-10-30,3570518
2013-11-06,3578326
2013-11-13,3630670
2013-11-20,3643215
2013-11-27,3661892
2013-12-04,3668024
2013-12-11,3725907
2013-12-18,3739919
2013-12-25,3762993
2014-01-01,3756158
2014-01-08,3758748
2014-01-15,3801068
2014-01-22,3825808
2014-01-29,3830311
2014-02-05,3836615
2014-02-12,3844752
2014-02-19,3887969
2014-02-26,3899733
2014-03-05,3909982
2014-03-12,3917478
2014-03-19,3956122
2014-03-26,3961985
2014-04-02,3971104
2014-04-09,3976536
2014-04-16,4015215
2014-04-23,4025867
2014-04-30,4027112
2014-05-07,4031756
2014-05-14,4062323
2014-05-21,4067133
2014-05-28,4062788
2014-06-04,4070251
2014-06-11,4077886
2014-06-18,4103522
2014-06-25,4104528
2014-07-02,4112136
2014-07-09,4116066
2014-07-16,4129965
2014-07-23,4140531
2014-07-30,4136776
2014-08-06,4139056
2014-08-13,4157780
2014-08-20,4154858
2014-08-27,4155806
2014-09-03,4156864
2014-09-10,4160521
2014-09-17,4187075
2014-09-24,4194913
2014-10-01,4188166
2014-10-08,4190889
2014-10-15,4208523
2014-10-22,4214342
2014-10-29,4219168
2014-11-05,4219177
2014-11-12,4219197
2014-11-19,4236210
2014-11-26,4230112
2014-12-03,4230106
2014-12-10,4230053
2014-12-17,4242129
2014-12-24,4247474
2014-12-31,4236873
2015-01-07,4236740
2015-01-14,4251495
2015-01-21,4249065
2015-01-28,4237064
2015-02-04,4236920
2015-02-11,4236063
2015-02-18,4246232
2015-02-25,4237251
2015-03-04,4237130
2015-03-11,4237037
2015-03-18,4242578
2015-03-25,4228452
2015-04-01,4228384
2015-04-08,4228500
2015-04-15,4230135
2015-04-22,4232885
2015-04-29,4214779
2015-05-06,4214936
2015-05-13,4240069
2015-05-20,4233844
2015-05-27,4218968
2015-06-03,4219080
2015-06-10,4219135
2015-06-17,4237629
2015-06-24,4243199
2015-07-01,4228931
2015-07-08,4229062
2015-07-15,4240941
2015-07-22,4245923
2015-07-29,4231429
2015-08-05,4231557
2015-08-12,4231671
2015-08-19,4244953
2015-08-26,4233581
2015-09-02,4233718
2015-09-09,4233742
2015-09-16,4242157
2015-09-23,4249658
2015-09-30,4238274
2015-10-07,4238253
2015-10-14,4253455
2015-10-21,4251180
2015-10-28,4240037
2015-11-04,4240008
2015-11-11,4239967
2015-11-18,4248123
2015-11-25,4239362
2015-12-02,4239334
2015-12-09,4239330
2015-12-16,4247678
2015-12-23,4252267
2015-12-30,4241965
2016-01-06,4241916
2016-01-13,4254996
2016-01-20,4242989
2016-01-27,4236838
2016-02-03,4236766
2016-02-10,4236672
2016-02-17,4249169
2016-02-24,4253447
2016-03-02,4244299
2016-03-09,4244344
2016-03-16,4248579
2016-03-23,4253473
2016-03-30,4243666
2016-04-06,4243689
2016-04-13,4256748
2016-04-20,4248103
2016-04-27,4233335
2016-05-04,4233412
2016-05-11,4233528
2016-05-18,4241550
2016-05-25,4229807
